2022-04-02 16:59:58 | loaded 474/482 parameter items from ./YOLOLITE/model/v5lite-s.pth
2022-04-02 16:59:58 | Optimizer groups: 82 .bias, 82 conv.weight, 79 other
2022-04-02 16:59:59 | Image sizes 512 train, 512 test,  Using 8 dataloader workers, Logging results to YOLOLITE/save_nowarm, Starting training for 50 epochs...
2022-04-02 17:00:27 | epoch    1/50 | iter:  60/259 | boxloss 0.046712 | objloss 0.011034 | clsloss 0.024677 | totalloss 0.082424 | labels 481 | time 0.372624s
2022-04-02 17:00:27 | epoch    1/50 | iter:  61/259 | boxloss 0.046579 | objloss 0.011027 | clsloss 0.024642 | totalloss 0.082248 | labels 419 | time 0.385112s
2022-04-02 17:00:27 | epoch    1/50 | iter:  62/259 | boxloss 0.046442 | objloss 0.010988 | clsloss 0.024618 | totalloss 0.082047 | labels 338 | time 0.372720s
2022-04-02 17:00:28 | epoch    1/50 | iter:  63/259 | boxloss 0.046311 | objloss 0.010973 | clsloss 0.024600 | totalloss 0.081883 | labels 388 | time 0.374005s
2022-04-02 17:00:28 | epoch    1/50 | iter:  64/259 | boxloss 0.046172 | objloss 0.010972 | clsloss 0.024574 | totalloss 0.081717 | labels 459 | time 0.376708s
2022-04-02 17:00:29 | epoch    1/50 | iter:  65/259 | boxloss 0.046039 | objloss 0.010941 | clsloss 0.024543 | totalloss 0.081522 | labels 364 | time 0.371891s
2022-04-02 17:00:29 | epoch    1/50 | iter:  66/259 | boxloss 0.045905 | objloss 0.010919 | clsloss 0.024516 | totalloss 0.081339 | labels 376 | time 0.372969s
2022-04-02 17:00:29 | epoch    1/50 | iter:  67/259 | boxloss 0.045778 | objloss 0.010900 | clsloss 0.024478 | totalloss 0.081157 | labels 364 | time 0.371602s
2022-04-02 17:00:30 | epoch    1/50 | iter:  68/259 | boxloss 0.045670 | objloss 0.010899 | clsloss 0.024448 | totalloss 0.081016 | labels 436 | time 0.370100s
2022-04-02 17:00:30 | epoch    1/50 | iter:  69/259 | boxloss 0.045546 | objloss 0.010879 | clsloss 0.024413 | totalloss 0.080837 | labels 389 | time 0.370120s
2022-04-02 17:00:30 | epoch    1/50 | iter:  70/259 | boxloss 0.045443 | objloss 0.010867 | clsloss 0.024377 | totalloss 0.080687 | labels 436 | time 0.368210s
2022-04-02 17:00:31 | epoch    1/50 | iter:  71/259 | boxloss 0.045330 | objloss 0.010844 | clsloss 0.024348 | totalloss 0.080522 | labels 373 | time 0.369306s
2022-04-02 17:00:31 | epoch    1/50 | iter:  72/259 | boxloss 0.045227 | objloss 0.010818 | clsloss 0.024305 | totalloss 0.080350 | labels 368 | time 0.370255s
2022-04-02 17:00:31 | epoch    1/50 | iter:  73/259 | boxloss 0.045144 | objloss 0.010807 | clsloss 0.024278 | totalloss 0.080229 | labels 448 | time 0.371428s
2022-04-02 17:00:32 | epoch    1/50 | iter:  74/259 | boxloss 0.045046 | objloss 0.010797 | clsloss 0.024250 | totalloss 0.080093 | labels 436 | time 0.370642s
2022-04-02 17:00:32 | epoch    1/50 | iter:  75/259 | boxloss 0.044937 | objloss 0.010776 | clsloss 0.024228 | totalloss 0.079941 | labels 364 | time 0.371161s
2022-04-02 17:00:33 | epoch    1/50 | iter:  76/259 | boxloss 0.044858 | objloss 0.010782 | clsloss 0.024211 | totalloss 0.079852 | labels 474 | time 0.375571s
2022-04-02 17:00:33 | epoch    1/50 | iter:  77/259 | boxloss 0.044767 | objloss 0.010787 | clsloss 0.024199 | totalloss 0.079753 | labels 444 | time 0.370567s
2022-04-02 17:00:33 | epoch    1/50 | iter:  78/259 | boxloss 0.044666 | objloss 0.010783 | clsloss 0.024188 | totalloss 0.079637 | labels 408 | time 0.375446s
2022-04-02 17:00:34 | epoch    1/50 | iter:  79/259 | boxloss 0.044582 | objloss 0.010765 | clsloss 0.024164 | totalloss 0.079511 | labels 408 | time 0.370603s
